Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5 Core Piano Bench 3" Padded Cushioned Stool w Backrest Heavy Duty Musician Chair Height Adjustable - PNB B-REST BLU	602918564512038	PNB B-REST BLU	$0.01	$0.01	$38.29	3829.00	0.02%	$0.01	1	1	127	6	4.72%	16.66%	1	$38.29	3829.00	0.02%	$0.01	1	1
5 Core Speaker Stand Tripod Heavy Duty Adjustable Up to 72 Inch DJ Studio Monitor Stands Pole Mount Orange	602465982329887	SS HD 1PK ORG WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Stand 2Pc A Frame w Soft Foam Arms Non-Slip Rubber for Acoustic Electric Bass Guitar Ukulele & Banjo Stable Foldable Metal Floor Stand for School Studio & Stage Yellow - GSS YLW 2PCS	602268413848669	GSS YLW 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	104	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Stand Pair A Frame Shape w Soft Foam Arms Non Slip Rubber Supports Acoustic Electric Bass Ukulele Banjo for School Studio Stage Concerts Brown - GSS BR 2PCS	602730659728904	GSS BR 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 1.2mm Celluloid Extra Heavy Gauge Pick - Acoustic Electric Bass Guitars GREEN	602481551589961	G PICK EXH GR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 0.96mm Celluloid Heavy Gauge Pick - Acoustic Electric Bass Guitars WHITE	602363440009842	G PICK H WH 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands ORANGE	602311363496934	SS HD 2PK ORG BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Rack 7-Slot Multi Guitar Stand Floor Storage Holder for Electric & Acoustic Guitars, V-Style Compatible	603149419035148	GRack 7N1	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	156	2	1.28%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Tripod Mic Stand Heavy Duty Adjustable Holder Floor Microphone Boom Arm BLACK	602891720960535	MS 080	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Foot Stool Height Adjustable Folding Leg Rest Classical Footrest	603134386657268	GFS RED	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	210	2	0.95%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adapter 12 Pieces 5/8 Male to 3/8 Female Screw Thread Conversion Connector	602363439980082	MS ADP M BLK 3858 12PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	7	7	100.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adapter 12 Pieces 5/8 Female to 1/4 Inch Male Screw Thread Conversion Connector	602210968677344	MS ADP M SLV 58-14 12PCS	$0.24	$0.24	$3.06	12.75	7.84%	$0.08	3	3	2,520	66	2.61%	4.54%	10	$3.06	12.75	7.84%	$0.08	3	3
5 Core Mic Stand Adapter 12 Pieces 5/8 Female to 3/8 Male Screw Thread Conversion Connector	602545976084469	MS ADP M BLK 5838 12PCS	$0.00	$0.00	$0.99	∞	0.00%	$0.00	1	1	348	5	1.43%	20.00%	0	$0.99	∞	0.00%	$0.00	1	1
5 Core Mic Stand Adapter 12 Pieces 3/8 Male to 5/8 Female Screw Thread Conversion Connector	602773609389294	MS ADP M SLV 38M-58F 12PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	308	3	0.97%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 1 Way Passive Cross Over Network Frequency Divider Metalised Polyester Capacitors	603177336305947	NW 05	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adapter 12 Pieces 3/8 Female to 5/8 Male Screw Thread Conversion Connector	602872729179359	MS ADP M SLV 38F-58M 12PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Conga Mic Snare Tom Microphone Drum Kit Condenser XLR Instrument Mics XP	602299351038553	CONGO 3XP	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	54	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 1.2mm Celluloid Extra Heavy Gauge Pick - Acoustic Electric Bass Guitars WHITE	603053654701367	G PICK EXH WH 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adjustable Desktop Microphone Stands Tripod Portable Table Pedestal Para Microfono	603126669135740	MINI TRIPOD MIC STAND	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	4	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks Celluloid Light Gauge 0.46mm Pick - Acoustic Electric Bass Guitars WHITE	602274218788675	G PICK L WH 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks Celluloid Light Gauge 0.46mm Pick - Acoustic Electric Bass Guitars RED	602503898857715	G PICK L R 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 0.96mm Celluloid Heavy Gauge Pick - Acoustic Electric Bass Guitars RED	603060197815069	G PICK H R 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks Celluloid Light Gauge 0.46mm Pick - Acoustic Electric Bass Guitars GREEN	603045165379377	G PICK L GR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pcs Adjustable Microphone Stands Floor w 180° Rotating Telescoping Metal Boom Arm	602546143866970	TBMS 80 HD 2PCs	$0.08	$0.08	$0.00	0.00	0.00%	$0.00	0	0	462	5	1.08%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5Core Music Sheet Page Holder Clip Black Durable Plastic Music Score Fixed Clips	602854844635057		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2" 30 Yards 4Pcs Professional Black Pro Gaff Tape Non Reflective Water Resistant	602785588289806		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2" 30 Yards 4Pcs Professional Black Pro Gaff Tape Non Reflective Water Resistant	602907994900072		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2" 30 Yards 4Pcs Professional Black Pro Gaff Tape Non Reflective Water Resistant	602650296849145		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Duet Piano Bench 3.5 Inch Padded Cushioned Double Seater Wooden Stool	602683582827112	PNB DT PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	77	1	1.29%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Stand A Frame w Soft Foam Arms Non-Slip Rubber Support for Acoustic Electric Bass Guitar Ukulele & Banjo Stable Foldable Metal Floor Stand for School Studio & Stage - Red - GSS RED	603035770149340	GSS RED	$0.00	$0.00	$45.85	∞	0.00%	$0.00	6	7	1,506	49	3.25%	12.24%	11	$39.30	∞	0.00%	$0.00	5	6
5 Core Bass Guitar Strings Phosphor Steel Extra Light Gauge Bright Tone 6 String Set	603064761203083	GS EL BSS 6PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Music Stand For Sheet Music Portable Tripod Adjustable Folding With Light Note Holder BLUE	603109053019115		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	587	14	2.38%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand PINK	602997383895997	MUS FLD 4S PNK WLGT	$0.01	$0.01	$0.00	0.00	0.00%	$0.00	0	0	210	4	1.90%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core PA Horn Speaker 600W PMPO Compression Driver Audio in 22" Trumpet Throat Loud Audio System	602709352648840	TRUMPET 22 + DU60	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	76	5	6.57%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Connector Male Female to 1/4 Audio Jack 3 Pin Secure Mic Plug w Locking Ends	602287908960624		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1,430	40	2.79%	0.00%	9	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Connector Male Female to 1/4 Audio Jack 3 Pin Secure Mic Plug w Locking Ends	603187704659088		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	603168914133320		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	582	11	1.89%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	602732438106961		$0.00	$0.00	$124.14	∞	0.00%	$0.00	5	6	444	24	5.40%	20.83%	3	$124.14	∞	0.00%	$0.00	5	6
5Core Speaker Stand Tripod 2Pcs Tall Adjustable 72 Inch DJ Studio Monitor Stands Pole Mount	602372197707469		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	209	6	2.87%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands SKY BLUE	602516347575645		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	113	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands SKY BLUE 2Pcs	602887056892196		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	96	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 3/8 to 1/4 Adapter 5Pcs Camera Mount Durable Tripod Screw Adapter for DSLR Monopod Microphone	602904639449785	1/4M-3/8M Camera Screw 5Pcs	$0.28	$0.28	$4.17	14.89	6.71%	$0.10	3	3	1,534	28	1.82%	10.71%	10	$4.17	14.89	6.71%	$0.10	3	3
5 Core Keyboard Stand X Shape Adjustable Foldable Portable Key Board Stands w Locking Strap	602948662827686	KS 1X RED	$0.03	$0.03	$162.02	5400.67	0.01%	$0.01	14	14	17,866	444	2.48%	3.15%	88	$162.02	5400.67	0.01%	$0.01	14	14
5 Core Drum Throne 4" Thick Padded Guitar Stool 441Lb Capacity 20-26” Adjustable Drummer Chair	602643720171393	DS CH BLU PR HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Car Charger USB + Type-C Quick Charge Adapter with Smart Chip Fast Charging for Truck SUV	602484403739301	CDKC11	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	87	1	1.14%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Audio Mixer 8 Channel DJ Equipment with Bluetooth USB Sound Board Console	603296152550585	MX 8CH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch Guitar Amp Woofer Replacement Speaker 100W 4 Ohm for Electric Guitar Cabinets	602262004926972		$0.00	$0.00	$97.56	∞	0.00%	$0.00	9	9	10,128	519	5.12%	1.73%	56	$97.56	∞	0.00%	$0.00	9	9
5 Core Drum Throne w Backrest 4" Padded Stool Airlift Adjustable 25.5" Drummer Chair 441Lb Capacity	602753778723980		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift Adjustable 25.5" Drummer Chair 441Lb Capacity	603234546645877		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker 8Pcs Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 BLK 8PCS	603127172405250	HW 508 BLK 8PCS	$0.13	$0.13	$0.00	0.00	0.00%	$0.00	0	0	456	14	3.07%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker 8Pcs Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 WH 8PCS	602281332297287	HW 508 WH 8PCS	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	254	5	1.96%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603009060850984	PM 757 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603170390546001	PM 816 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602330724415253	PM 600 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Wireless Microphones w 2 Headset Portable Mini Microfono Inalambricos + Receiver 165ft Range	603198039401618	WM 301 HH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	287	5	1.74%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Cat 6 Ethernet Cable Long Computer Internet Cables WiFi RJ45 Cord for Gaming	602444541074535	ET 20FT BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	22	3	13.63%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Pair Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	602607749853306	CAPO GLD 2Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Pair Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	603181127932704	CAPO RED 2Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Capo Pair Acoustic Electric Guitar 6 String Kapo Clip For Banjo Mandolin Ukulele	602727740471719	CAPO WH 2 Pcs	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Capo Pair Quick Change Acoustic Electric String Clip Banjo Mandolin Or Ukulele Black	603045836470870	CAPO AL BLK 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Capo Pair Quick Change Acoustic Electric String Clip Banjo Mandolin Or Ukulele Blue	602693380716511	CAPO AL BLU 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Guitar Capo Pair Quick Change Acoustic Electric String Clip Banjo Mandolin Or Ukulele Yellow	603039930930272	CAPO AL YLW 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 12 Inch Car Woofer Audio 300W 4Ohm Deep Bass Replacement Sub Woofer Component Loud Speaker	602939175314548	WF 12140 4OHM	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	4	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602896225684302	DM E9 PRPL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	54	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602346469874406	DM E9 BLU	$0.64	$0.64	$0.00	0.00	0.00%	$0.00	0	0	222	20	9.00%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602277750392874	DM E9 SLV	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602827506202623	DM E9 GRN	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602277750353159	DM E9 WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	75	2	2.66%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Adapter 2 Tier Adjustable Second Extension Add On for Digital Piano Stands	603102384068068	KS 2T WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	209	2	0.95%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Outdoor Speakers Stereo In Wall 500W Peak Passive Home Audio System	602930048535058	Window	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand 2Pc Heavy Duty Adjustable Telescoping Height 59.5" Triangle Base 100Lb Capacity	602405391405547	SS TRI BASE 64 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand 2Pc Heavy Duty Adjustable Telescoping Height 59.5" Triangle Base 100Lb Capacity	602542830393510	SS TRI BASE 64 WH	$0.00	$0.00	$39.49	∞	0.00%	$0.00	1	1	295	34	11.52%	2.94%	3	$39.49	∞	0.00%	$0.00	1	1
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	603092586201445	GSTOOL L- BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602955147256252	GSTOOL L- RED	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	82	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602955147242807	GSTOOL L- WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	62	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602405391428873	GSTOOL L- YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	182	8	4.39%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602920787509360	GSTOOL RND WH REST	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	41	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602843478102194	GSTOOL BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	603118356032266	GSTOOL YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	78	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair Foldable Heavy Duty Music Seat Built in Foot Rest Guitar Stand	602431161228956		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Projector Stand 29.5 to 71 Inch Adjustable Tripod 2 Shelves Portable Laptop Cart w Phone Holder	602648057056752	PS WHLS BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
Projector Stand 29.5 to 71 Inch Adjustable Tripod 2 Shelves Portable Laptop Cart w Phone Holder	602922934994726	PS WHLS WH	$3.18	$3.18	$30.00	9.43	10.60%	$3.18	1	1	159	11	6.91%	9.09%	1	$30.00	9.43	10.60%	$3.18	1	1
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602304459700536	GSTOOL RND BLU REST	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	603197812889732	GSTOOL RND YLW REST	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602304459712382		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602304459708325		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool 3.15" Padded Chair w Backrest Foldable Music Seat Built in Foot Rest Guitar Stand	602304459688531		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Wireless Phone Charging Pad 15W Qi-Certified Fast Charger Mat Cargador	602484848356024	CDKW04 B	$0.02	$0.02	$0.00	0.00	0.00%	$0.00	0	0	1,360	43	3.16%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 9Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602209970429279	DM E9 RED	$0.04	$0.04	$0.00	0.00	0.00%	$0.00	0	0	79	2	2.53%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Adjustable 26.5" Drummer Stool w Velvet Top 441Lb Capacity	602759726224637	DS VEL RED REST-SWL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 10 Inch Subwoofer pair 600W Car Audio Sub Woofer 4 Ohm w Deep Bass Replacement Loud Speaker	602347409399314	WF 10120 4OHM 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Head Microphone And Clip-on Lapel Lavalier Mic Wireless Receiver + Power Cord - WM 301 HC	602347409392927	WM 301 HC	$2.64	$2.64	$25.86	9.80	10.20%	$2.64	1	1	688	18	2.61%	5.55%	2	$25.86	9.80	10.20%	$2.64	1	1
5 Core Audio Mixer 16 Channel DJ Mixing Board Bluetooth USB Analog Professional Mezclador De Audio	603034604167454	MX 16CH L	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 3" Thick Padded Memory Foam Comfortable Drummer Stool 330Lb Capacity Adjustable	602347409381791	DS 01 YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	331	17	5.13%	0.00%	3	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602436529945676	MS DBL G RED 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	153	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602986285751062	MS DBL G SKY BLU 2 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	285	1	0.35%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand 2Pcs Floor Height Adjustable Tripod Microphone Stands w Telescoping Boom Arm	602711407855080	MS DBL G WH 2 PCS	$0.10	$0.10	$0.00	0.00	0.00%	$0.00	0	0	608	5	0.82%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
